cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,      z-velocity
       852, 9.243582487E-01, 1.697215438E-01, 2.549818277E+00,-1.883194927E-04, 3.347154416E-05,-7.669226732E-03
       853, 9.054910541E-01, 1.508543342E-01, 2.549818277E+00, 2.731604502E-03, 4.539578003E-05,-8.052015677E-03
       854, 8.866237998E-01, 1.319871247E-01, 2.549818277E+00,-1.619852264E-03, 6.879449211E-05,-8.033540100E-03
       855, 8.677566648E-01, 1.131199226E-01, 2.549818277E+00,-1.399318135E-04, 5.182127279E-05,-7.849770598E-03
       856, 8.488894105E-01, 9.425272048E-02, 2.549818277E+00, 1.769795563E-05, 2.627520371E-05,-7.667757571E-03
       857, 8.300222158E-01, 7.538551092E-02, 2.549818277E+00, 6.544672215E-05, 1.020380387E-05,-7.527417969E-03
       858, 8.111550212E-01, 5.651830882E-02, 2.549818277E+00, 8.642407192E-05, 2.515988854E-06,-7.358727045E-03
       859, 7.922877669E-01, 3.765110299E-02, 2.549818277E+00, 1.028035404E-04, 3.501735648E-07,-7.149215322E-03
       860, 7.734206319E-01, 1.878389530E-02, 2.549818277E+00, 1.070739308E-04,-9.997201289E-08,-6.898268126E-03
       861, 7.545533776E-01,-8.330964920E-05, 2.549818277E+00, 1.043593293E-04,-3.818196319E-07,-6.604360417E-03
       862, 7.356861830E-01,-1.895051636E-02, 2.549818277E+00, 9.943176701E-05,-1.506571607E-06,-6.268358789E-03
       863, 7.168189883E-01,-3.781772032E-02, 2.549818277E+00, 9.126550140E-05,-2.941422508E-06,-5.892870482E-03
       864, 6.979517341E-01,-5.668492615E-02, 2.549818277E+00, 8.107675967E-05,-4.328560863E-06,-5.479162093E-03
       865, 6.790845990E-01,-7.555212826E-02, 2.549818277E+00, 6.959068560E-05,-5.831737781E-06,-5.032680929E-03
       866, 6.602173448E-01,-9.441933781E-02, 2.549818277E+00, 5.825487096E-05,-7.355693015E-06,-4.559314344E-03
       867, 6.413501501E-01,-1.132865399E-01, 2.549818277E+00, 4.705922038E-05,-8.241866453E-06,-4.065042362E-03
       868, 6.224829555E-01,-1.321537495E-01, 2.549818277E+00, 3.626440957E-05,-8.034546227E-06,-3.555661533E-03
       869, 6.036157608E-01,-1.510209590E-01, 2.549818277E+00, 2.627771210E-05,-7.273964911E-06,-3.035823349E-03
       870, 1.017594576E+00, 2.436888367E-01, 2.549863815E+00, 1.327383216E-03,-1.337500755E-02,-2.461390756E-02
